BehaviorSpace results (NetLogo 4.1.1),,,,,,,,,,Numbr of Inactive Ants,Number of Foragers
16-loop_import_nest_midden_trail_inactive_interact_foragers_thod_plots.nlogo,,,,,,,,,,96,0
experiment,,,,,,,,,,96,0
03/04/2011 16:13:30:921 -0700,,,,,,,,,,96,0
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,96,0
,37,59,,,,,,,,37,59
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,37,59,,,,,,,,38,58
,38,58,,,,,,,,38,58
,39,57,,,,,,,,38,58
,39,57,,,,,,,,38,58
,38,58,,,,,,,,38,58
,38,58,,,,,,,,39,57
,38,58,,,,,,,,39,57
,38,58,,,,,,,,40,56
,38,58,,,,,,,,40,56
,37,59,,,,,,,,41,55
,37,59,,,,,,,,41,55
,38,58,,,,,,,,41,55
,38,58,,,,,,,,41,55
,38,58,,,,,,,,41,55
,38,58,,,,,,,,41,55
,38,58,,,,,,,,41,55
,38,58,,,,,,,,41,55
,38,58,,,,,,,,41,55
,38,58,,,,,,,,41,55
,38,58,,,,,,,,42,54
,38,58,,,,,,,,44,52
,38,58,,,,,,,,44,52
,39,57,,,,,,,,44,52
,39,57,,,,,,,,44,52
,40,56,,,,,,,,44,52
,40,56,,,,,,,,44,52
,41,55,,,,,,,,44,52
,41,55,,,,,,,,44,52
,41,55,,,,,,,,44,52
,41,55,,,,,,,,45,51
,41,55,,,,,,,,45,51
,41,55,,,,,,,,45,51
,41,55,,,,,,,,45,51
,41,55,,,,,,,,45,51
,41,55,,,,,,,,46,50
,41,55,,,,,,,,46,50
,42,54,,,,,,,,46,50
,44,52,,,,,,,,46,50
,44,52,,,,,,,,46,50
,44,52,,,,,,,,46,50
,44,52,,,,,,,,47,49
,44,52,,,,,,,,48,48
,44,52,,,,,,,,48,48
,44,52,,,,,,,,49,47
,44,52,,,,,,,,49,47
,44,52,,,,,,,,49,47
,45,51,,,,,,,,49,47
,45,51,,,,,,,,49,47
,45,51,,,,,,,,49,47
,45,51,,,,,,,,49,47
,45,51,,,,,,,,51,45
,46,50,,,,,,,,51,45
,46,50,,,,,,,,51,45
,46,50,,,,,,,,53,43
,46,50,,,,,,,,53,43
,46,50,,,,,,,,53,43
,46,50,,,,,,,,53,43
,47,49,,,,,,,,53,43
,48,48,,,,,,,,53,43
,48,48,,,,,,,,53,43
,49,47,,,,,,,,54,42
,49,47,,,,,,,,54,42
,49,47,,,,,,,,54,42
,49,47,,,,,,,,54,42
,49,47,,,,,,,,54,42
,49,47,,,,,,,,54,42
,49,47,,,,,,,,54,42
,51,45,,,,,,,,54,42
,51,45,,,,,,,,54,42
,51,45,,,,,,,,54,42
,53,43,,,,,,,,55,41
,53,43,,,,,,,,55,41
,53,43,,,,,,,,55,41
,53,43,,,,,,,,55,41
,53,43,,,,,,,,55,41
,53,43,,,,,,,,56,40
,53,43,,,,,,,,56,40
,54,42,,,,,,,,56,40
,54,42,,,,,,,,56,40
,54,42,,,,,,,,57,39
,54,42,,,,,,,,58,38
,54,42,,,,,,,,59,37
,54,42,,,,,,,,59,37
,54,42,,,,,,,,60,36
,54,42,,,,,,,,61,35
,54,42,,,,,,,,61,35
,54,42,,,,,,,,61,35
,55,41,,,,,,,,61,35
,55,41,,,,,,,,62,34
,55,41,,,,,,,,62,34
,55,41,,,,,,,,62,34
,55,41,,,,,,,,62,34
,56,40,,,,,,,,62,34
,56,40,,,,,,,,62,34
,56,40,,,,,,,,62,34
,56,40,,,,,,,,62,34
,57,39,,,,,,,,62,34
,58,38,,,,,,,,62,34
,59,37,,,,,,,,63,33
,59,37,,,,,,,,63,33
,60,36,,,,,,,,63,33
,61,35,,,,,,,,63,33
,61,35,,,,,,,,64,32
,61,35,,,,,,,,65,31
,61,35,,,,,,,,65,31
,62,34,,,,,,,,66,30
,62,34,,,,,,,,66,30
,62,34,,,,,,,,66,30
,62,34,,,,,,,,67,29
,62,34,,,,,,,,67,29
,62,34,,,,,,,,67,29
,62,34,,,,,,,,67,29
,62,34,,,,,,,,67,29
,62,34,,,,,,,,67,29
,62,34,,,,,,,,68,28
,63,33,,,,,,,,69,27
,63,33,,,,,,,,69,27
,63,33,,,,,,,,69,27
,63,33,,,,,,,,69,27
,64,32,,,,,,,,69,27
,65,31,,,,,,,,69,27
,65,31,,,,,,,,69,27
,66,30,,,,,,,,70,26
,66,30,,,,,,,,70,26
,66,30,,,,,,,,71,25
,67,29,,,,,,,,73,23
,67,29,,,,,,,,73,23
,67,29,,,,,,,,73,23
,67,29,,,,,,,,73,23
,67,29,,,,,,,,73,23
,67,29,,,,,,,,73,23
,68,28,,,,,,,,73,23
,69,27,,,,,,,,74,22
,69,27,,,,,,,,74,22
,69,27,,,,,,,,74,22
,69,27,,,,,,,,75,21
,69,27,,,,,,,,76,20
,69,27,,,,,,,,76,20
,69,27,,,,,,,,76,20
,70,26,,,,,,,,76,20
,70,26,,,,,,,,76,20
,71,25,,,,,,,,76,20
,73,23,,,,,,,,76,20
,73,23,,,,,,,,76,20
,73,23,,,,,,,,76,20
,73,23,,,,,,,,76,20
,73,23,,,,,,,,76,20
,73,23,,,,,,,,76,20
,73,23,,,,,,,,76,20
,74,22,,,,,,,,76,20
,74,22,,,,,,,,76,20
,74,22,,,,,,,,76,20
,75,21,,,,,,,,78,18
,76,20,,,,,,,,78,18
,76,20,,,,,,,,78,18
,76,20,,,,,,,,78,18
,76,20,,,,,,,,78,18
,76,20,,,,,,,,78,18
,76,20,,,,,,,,78,18
,76,20,,,,,,,,77,19
,76,20,,,,,,,,77,19
,76,20,,,,,,,,78,18
,76,20,,,,,,,,78,18
,76,20,,,,,,,,79,17
,76,20,,,,,,,,79,17
,76,20,,,,,,,,79,17
,76,20,,,,,,,,79,17
,76,20,,,,,,,,79,17
,76,20,,,,,,,,79,17
,78,18,,,,,,,,79,17
,78,18,,,,,,,,79,17
,78,18,,,,,,,,79,17
,78,18,,,,,,,,79,17
,78,18,,,,,,,,79,17
,78,18,,,,,,,,79,17
,78,18,,,,,,,,79,17
,77,19,,,,,,,,79,17
,77,19,,,,,,,,80,16
,78,18,,,,,,,,80,16
,78,18,,,,,,,,80,16
,79,17,,,,,,,,80,16
,79,17,,,,,,,,81,15
,79,17,,,,,,,,81,15
,79,17,,,,,,,,81,15
,79,17,,,,,,,,81,15
,79,17,,,,,,,,81,15
,79,17,,,,,,,,81,15
,79,17,,,,,,,,82,14
,79,17,,,,,,,,83,13
,79,17,,,,,,,,83,13
,79,17,,,,,,,,83,13
,79,17,,,,,,,,83,13
,79,17,,,,,,,,83,13
,79,17,,,,,,,,83,13
,80,16,,,,,,,,83,13
,80,16,,,,,,,,83,13
,80,16,,,,,,,,83,13
,80,16,,,,,,,,83,13
,81,15,,,,,,,,83,13
,81,15,,,,,,,,83,13
,81,15,,,,,,,,83,13
,81,15,,,,,,,,83,13
,81,15,,,,,,,,83,13
,81,15,,,,,,,,83,13
,82,14,,,,,,,,83,13
,83,13,,,,,,,,83,13
,83,13,,,,,,,,83,13
,83,13,,,,,,,,83,13
,83,13,,,,,,,,84,12
,83,13,,,,,,,,84,12
,83,13,,,,,,,,84,12
,83,13,,,,,,,,85,11
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,83,13,,,,,,,,86,10
,84,12,,,,,,,,85,11
,84,12,,,,,,,,85,11
,84,12,,,,,,,,85,11
,85,11,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,86,10
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,86,10,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,86,10,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
,85,11,,,,,,,,85,11
